iter	Logloss
0	0.6871747592
1	0.6764126306
2	0.6671337205
3	0.6573003946
4	0.6466833389
5	0.6371213351
6	0.6287479124
7	0.6215177887
8	0.6138145563
9	0.6069823343
10	0.6001360649
11	0.5937909763
12	0.5875453353
13	0.581830265
14	0.5764669046
15	0.5709912482
16	0.566244121
17	0.5615405664
18	0.5560066723
19	0.551467791
20	0.547368628
21	0.5440339428
22	0.5400815838
23	0.5365816052
24	0.5332006248
25	0.5298234679
26	0.5267873571
27	0.5238838084
28	0.5220747113
29	0.5190964685
30	0.5165894871
31	0.5142086438
32	0.5115316111
33	0.5093133845
34	0.5072080902
35	0.5050237955
36	0.5033224762
37	0.5012688787
38	0.4994428421
39	0.4978413001
40	0.4965794444
41	0.4949239318
42	0.4936192213
43	0.4919443476
44	0.4902511008
45	0.4898357255
46	0.488687004
47	0.4876291367
48	0.4863868793
49	0.4850079547
50	0.4838986375
51	0.4827628419
52	0.4818741508
53	0.4810357789
54	0.4801628879
55	0.4792482589
56	0.478265628
57	0.4772765454
58	0.4763097177
59	0.4755316957
60	0.474782783
61	0.4741086834
62	0.4733874873
63	0.4725184009
64	0.4717310615
65	0.470870204
66	0.47045717
67	0.4695735898
68	0.46901079
69	0.4683470146
70	0.4678069595
71	0.4670973194
72	0.4664901646
73	0.4659428184
74	0.4654521386
75	0.464985896
76	0.4645992085
77	0.4643330748
78	0.4639033671
79	0.4634122258
80	0.4628886717
81	0.4623941469
82	0.461694124
83	0.4611704966
84	0.460733126
85	0.4603655195
86	0.4598724462
87	0.4593567598
88	0.4590174435
89	0.4586161966
90	0.458176815
91	0.4578456025
92	0.4577430964
93	0.4573163007
94	0.4569444676
95	0.4565775247
96	0.4561907361
97	0.455804518
98	0.4555334846
99	0.4552695974
100	0.4550750545
101	0.4549337531
102	0.4546635908
103	0.4544076319
104	0.4541749947
105	0.4538994256
106	0.4537321653
107	0.4535565665
108	0.4533309378
109	0.4531932575
110	0.4529599236
111	0.4527831924
112	0.4525891241
113	0.4523815239
114	0.4521211587
115	0.4518609919
116	0.4516757194
117	0.4515812228
118	0.451491807
119	0.4514297205
120	0.4512602047
121	0.4510217088
122	0.4509206865
123	0.4508011576
124	0.4506516329
125	0.4505289201
126	0.4503085337
127	0.4501385386
128	0.4498231697
129	0.4496973791
130	0.4495487524
131	0.4494333833
132	0.4492200023
133	0.4490694564
134	0.4489448388
135	0.4487543762
136	0.4486280562
137	0.4485031137
138	0.4483544921
139	0.4483271469
140	0.4482274244
141	0.4479922138
142	0.4479790909
143	0.4478080824
144	0.4476335198
145	0.4475258919
146	0.4473462197
147	0.4472291048
148	0.4471304815
149	0.4471126578
150	0.4469226218
151	0.4468482805
152	0.4466816419
153	0.4465697717
154	0.4464250281
155	0.4462933281
156	0.4462221725
157	0.4461177128
158	0.446019264
159	0.4459675727
160	0.4458562301
161	0.4457460557
162	0.4455722374
163	0.4455321421
164	0.4454862944
165	0.4454687314
166	0.4453572719
167	0.445280126
168	0.4451877781
169	0.4451166409
170	0.44497532
171	0.4448507508
172	0.4448277673
173	0.4447456788
174	0.4446596808
175	0.4446252529
176	0.4445487543
177	0.4444600567
178	0.4444042299
179	0.4443605931
180	0.4442742243
181	0.4442072343
182	0.444121176
183	0.4440495216
184	0.4439714716
185	0.4439319509
186	0.4438542772
187	0.443756538
188	0.4436569562
189	0.4435659767
190	0.4434557956
191	0.4433860472
192	0.4433594468
193	0.4433485881
194	0.4432859591
195	0.4432283717
196	0.4431216638
197	0.443075302
198	0.443026169
199	0.442953208
200	0.4428787973
201	0.4428443708
202	0.4428149528
203	0.4427773741
204	0.4427395361
205	0.4426858085
206	0.4426130046
207	0.4425848019
208	0.442522548
209	0.4424484776
210	0.4423771266
211	0.4422712799
212	0.4422286688
213	0.4421684966
214	0.4420987064
215	0.4420333839
216	0.4419686044
217	0.4418742578
218	0.4418336527
219	0.4417831051
220	0.4417016647
221	0.4416516461
222	0.4416516461
223	0.4416469845
224	0.4415738456
225	0.4415341862
226	0.4414731807
227	0.4414240787
228	0.4413596565
229	0.4413081831
230	0.4412819564
231	0.4412264523
232	0.4411285439
233	0.4410699908
234	0.4410282468
235	0.4410282965
236	0.441010179
237	0.440930276
238	0.4408416791
239	0.4408020754
240	0.4407622905
241	0.440740772
242	0.4407146371
243	0.4406418318
244	0.4406138488
245	0.4405695842
246	0.4405226136
247	0.4404834402
248	0.4404256916
249	0.440380193
250	0.4403438287
251	0.4402823055
252	0.440233288
253	0.4401691721
254	0.4401513018
255	0.4400748688
